model_name,layer_idx,relation_score_pair_balanced,n_relation_pairs,entity_score_family_balanced,n_entity_families,relation_minus_entity,relation_gt_entity
Qwen/Qwen2.5-3B,0,0.0,6,0.0,8,0.0,False
Qwen/Qwen2.5-3B,2,0.0,6,0.0,8,0.0,False
Qwen/Qwen2.5-3B,4,0.0,6,0.0,8,0.0,False
Qwen/Qwen2.5-3B,6,0.0,6,0.0,8,0.0,False
Qwen/Qwen2.5-3B,8,0.00505050505050505,6,0.0,8,0.00505050505050505,True
Qwen/Qwen2.5-3B,10,0.15151515151515152,6,0.0,8,0.15151515151515152,True
Qwen/Qwen2.5-3B,12,0.20075757575757577,6,0.0,8,0.20075757575757577,True
Qwen/Qwen2.5-3B,14,0.3055555555555555,6,0.0,8,0.3055555555555555,True
Qwen/Qwen2.5-3B,16,0.4053030303030303,6,0.0,8,0.4053030303030303,True
Qwen/Qwen2.5-3B,18,0.4330808080808081,6,0.0,8,0.4330808080808081,True
Qwen/Qwen2.5-3B,20,0.45580808080808083,6,0.0,8,0.45580808080808083,True
Qwen/Qwen2.5-3B,22,0.6066017316017316,6,0.0,8,0.6066017316017316,True
Qwen/Qwen2.5-3B,24,0.6116522366522367,6,0.0,8,0.6116522366522367,True
Qwen/Qwen2.5-3B,26,0.7227633477633478,6,0.0,8,0.7227633477633478,True
Qwen/Qwen2.5-3B,28,0.939033189033189,6,0.14583333333333331,8,0.7931998556998556,True
Qwen/Qwen2.5-3B,30,0.899891774891775,6,0.14583333333333331,8,0.7540584415584417,True
Qwen/Qwen2.5-3B,32,0.9146825396825397,6,0.8484375,8,0.0662450396825397,True
Qwen/Qwen2.5-3B,34,0.9327200577200577,6,0.9401041666666667,8,-0.007384108946609014,False
meta-llama/Llama-3.2-3B,0,0.0,6,0.0,8,0.0,False
meta-llama/Llama-3.2-3B,2,0.0,6,0.0,8,0.0,False
meta-llama/Llama-3.2-3B,4,0.13888888888888887,6,0.0,8,0.13888888888888887,True
meta-llama/Llama-3.2-3B,6,0.45580808080808083,6,0.0,8,0.45580808080808083,True
meta-llama/Llama-3.2-3B,8,0.47979797979797983,6,0.0,8,0.47979797979797983,True
meta-llama/Llama-3.2-3B,10,0.4696969696969697,6,0.0,8,0.4696969696969697,True
meta-llama/Llama-3.2-3B,12,0.47979797979797983,6,0.0,8,0.47979797979797983,True
meta-llama/Llama-3.2-3B,14,0.8320707070707071,6,0.041666666666666664,8,0.7904040404040404,True
meta-llama/Llama-3.2-3B,16,0.9747474747474748,6,0.24427083333333333,8,0.7304766414141415,True
meta-llama/Llama-3.2-3B,18,0.9696969696969697,6,0.5939102564102564,8,0.3757867132867133,True
meta-llama/Llama-3.2-3B,20,0.9343434343434344,6,0.8974358974358975,8,0.0369075369075369,True
meta-llama/Llama-3.2-3B,22,0.9343434343434344,6,0.9669471153846154,8,-0.032603681041181054,False
meta-llama/Llama-3.2-3B,24,0.9204545454545455,6,0.946113782051282,8,-0.025659236596736523,False
meta-llama/Llama-3.2-3B,26,0.9154040404040403,6,0.96875,8,-0.05334595959595967,False
meta-llama/Meta-Llama-3-8B,0,0.0,6,0.0,8,0.0,False
meta-llama/Meta-Llama-3-8B,2,0.0,6,0.0,8,0.0,False
meta-llama/Meta-Llama-3-8B,4,0.21085858585858586,6,0.0,8,0.21085858585858586,True
meta-llama/Meta-Llama-3-8B,6,0.3106060606060606,6,0.0,8,0.3106060606060606,True
meta-llama/Meta-Llama-3-8B,8,0.3851010101010101,6,0.0,8,0.3851010101010101,True
meta-llama/Meta-Llama-3-8B,10,0.4204545454545454,6,0.0,8,0.4204545454545454,True
meta-llama/Meta-Llama-3-8B,12,0.47474747474747475,6,0.0,8,0.47474747474747475,True
meta-llama/Meta-Llama-3-8B,14,0.8033910533910534,6,0.0,8,0.8033910533910534,True
meta-llama/Meta-Llama-3-8B,16,0.9848484848484849,6,0.15104166666666666,8,0.8338068181818182,True
meta-llama/Meta-Llama-3-8B,18,0.9848484848484849,6,0.23177083333333331,8,0.7530776515151516,True
meta-llama/Meta-Llama-3-8B,20,0.9848484848484849,6,0.5272435897435898,8,0.4576048951048951,True
meta-llama/Meta-Llama-3-8B,22,0.9646464646464646,6,0.9125,8,0.05214646464646466,True
meta-llama/Meta-Llama-3-8B,24,0.9646464646464646,6,0.9479166666666667,8,0.0167297979797979,True
meta-llama/Meta-Llama-3-8B,26,0.9494949494949495,6,0.96875,8,-0.019255050505050497,False
meta-llama/Meta-Llama-3-8B,28,0.9444444444444445,6,0.96875,8,-0.02430555555555547,False
meta-llama/Meta-Llama-3-8B,30,0.9393939393939394,6,0.9479166666666667,8,-0.008522727272727293,False
microsoft/phi-2,0,0.0,6,0.0,8,0.0,False
microsoft/phi-2,2,0.0,6,0.0,8,0.0,False
microsoft/phi-2,4,0.0,6,0.0,8,0.0,False
microsoft/phi-2,6,0.1414141414141414,6,0.0,8,0.1414141414141414,True
microsoft/phi-2,8,0.24116161616161616,6,0.0,8,0.24116161616161616,True
microsoft/phi-2,10,0.255050505050505,6,0.0,8,0.255050505050505,True
microsoft/phi-2,12,0.375,6,0.0,8,0.375,True
microsoft/phi-2,14,0.4103535353535353,6,0.0,8,0.4103535353535353,True
microsoft/phi-2,16,0.48394660894660896,6,0.0,8,0.48394660894660896,True
microsoft/phi-2,18,0.612914862914863,6,0.0,8,0.612914862914863,True
microsoft/phi-2,20,0.9630230880230881,6,0.05208333333333333,8,0.9109397546897547,True
microsoft/phi-2,22,0.9579725829725829,6,0.24919871794871795,8,0.708773865023865,True
microsoft/phi-2,24,0.9507575757575758,6,0.702724358974359,8,0.24803321678321677,True
microsoft/phi-2,26,0.9646464646464646,6,0.8453525641025641,8,0.11929390054390054,True
microsoft/phi-2,28,0.9646464646464646,6,0.9479166666666667,8,0.0167297979797979,True
microsoft/phi-2,30,0.9646464646464646,6,0.96875,8,-0.004103535353535359,False
